hospital,average_billing
"Abbott And Thompson, Sullivan",16738.57
Abbott Inc,38052.04
Abbott Ltd,29877.59
"Abbott Moore And Williams,",24799.6
"Abbott, Peters And Hoffman",18842.4
"Abbott, Vazquez Bautista And",14117.14
Abbott-Castillo,18397.74
Abbott-Coleman,19752.0
Abbott-Ferrell,99.93
Abbott-Hill,13260.14
Abbott-Jones,49039.71
Abbott-Martin,45215.61
Abbott-Rios,35798.35
Abbott-Wilson,23968.51
"Acevedo And Ellis, Snyder",33490.6
"Acevedo And Hart, Hernandez",7148.11
"Acevedo And Howard Burke,",31015.27
"Acevedo And Larson Andrews,",34339.76
"Acevedo And Lewis Barker,",4867.31
Acevedo Group,25420.54
"Acevedo Holmes And Rangel,",50150.17
Acevedo Llc,23600.5
Acevedo Ltd,32661.43
"Acevedo Phillips Steele, And",12363.78
Acevedo Plc,34396.55
"Acevedo, Jordan And Diaz",23316.69
"Acevedo, Martin And Price",44587.35
"Acevedo, Riddle Payne And",22252.0
Acevedo-Diaz,21431.17
Acevedo-Goodwin,5900.38
Acevedo-Henderson,13030.31
Acevedo-Lawson,30895.51
"Acosta And Tapia Evans,",36093.25
Acosta Group,39634.27
Acosta Inc,20886.31
Acosta Llc,36088.22
Acosta Ltd,29925.45
Acosta Plc,9840.05
Acosta Sons And,5808.69
"Acosta Trujillo Davis, And",12344.73
"Acosta Weeks Yates, And",5036.83
"Acosta Willis, Martin And",24056.83
"Acosta, And Martin Torres",17566.32
"Acosta, And Price Jackson",47389.47
"Acosta, And Young Morrow",1857.48
"Acosta, Figueroa Compton And",48430.01
"Acosta, Gordon Smith And",8416.57
"Acosta, Miller Martin And",30129.29
"Acosta, Reed And Guzman",23081.7
Acosta-Barnes,24230.82
Acosta-Berry,4981.75
Acosta-Carlson,5321.89
Acosta-Chambers,4112.21
Acosta-Clark,29257.71
Acosta-Davila,10541.96
Acosta-Dickerson,25091.45
Acosta-Miller,5783.74
Acosta-Robertson,37505.62
Acosta-Smith,4391.13
Acosta-Taylor,6380.16
Acosta-Thomas,27692.25
"Adams And Brown Benson,",14697.32
"Adams And Campos Cooper,",6172.03
"Adams And Delgado Newman,",27763.57
"Adams And Everett Garza,",35702.64
"Adams And Freeman Oneal,",18654.77
"Adams And Gonzales, Clark",36086.73
"Adams And Roberts Armstrong,",4431.9
"Adams And Smith Olson,",41330.29
Adams And Sons,38225.28
"Adams And Thomas Williams,",33730.88
"Adams And White, Smith",45292.62
"Adams Baxter, And Peterson",32989.04
"Adams Bell Adams, And",35275.93
Adams Group,27429.11
Adams Inc,40380.94
"Adams Lawson, And Fleming",15570.46
Adams Llc,24422.18
Adams Ltd,14489.22
"Adams Macias And Arias,",38996.2
"Adams Marshall, Taylor And",38672.11
"Adams Morris, And Griffin",31309.31
"Adams Murphy And Lopez,",20523.14
"Adams Navarro, Gomez And",44461.77
"Adams Novak, And James",40543.85
"Adams Odonnell And Cook,",34444.12
"Adams Patterson, And Pham",41229.73
"Adams Patterson, Lawrence And",37038.01
Adams Plc,26466.81
"Adams Rivas Duran, And",42637.53
"Adams Smith Cervantes, And",43564.77
Adams Sons And,9413.03
"Adams Torres Nixon, And",16818.56
"Adams Weaver, And Acosta",30295.74
"Adams West And Poole,",31473.65
"Adams Wilson, Newton And",39133.44
"Adams, And Colon Green",9879.05
"Adams, And Daniels Rogers",2675.09
"Adams, And Jackson Greer",37270.26
"Adams, And Johns Molina",47435.22
"Adams, And Joseph Williams",48393.46
"Adams, And Rodriguez Wright",30777.23
"Adams, Bowers Escobar And",49191.65
