InvoiceNo,StockCode,Product_Name,Quantity,UnitPrice,CustomerID,Country,TotalPrice
541883,22666,RECIPE BOX PANTRY YELLOW DESIGN,24,2.55,13408,United Kingdom,61.2
541883,22720,SET OF 3 CAKE TINS PANTRY DESIGN,24,4.25,13408,United Kingdom,102.0
541883,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,13408,United Kingdom,25.2
541883,22413,METAL SIGN TAKE IT OR LEAVE IT,12,2.95,13408,United Kingdom,35.4
541883,82600,NO SINGING METAL SIGN,12,2.1,13408,United Kingdom,25.2
541883,82599,FANNY'S REST STOPMETAL SIGN,12,2.1,13408,United Kingdom,25.2
541884,21188,3D HEARTS  HONEYCOMB PAPER GARLAND,12,2.95,14782,United Kingdom,35.4
541884,21195,PINK  HONEYCOMB PAPER BALL,12,2.1,14782,United Kingdom,25.2
541886,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,12,5.95,15039,United Kingdom,71.4
541886,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,3.39,15039,United Kingdom,81.36
541903,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12,7.65,15039,United Kingdom,91.8
541916,22970,LONDON BUS COFFEE MUG,24,2.55,17861,United Kingdom,61.2
541932,22699,ROSES REGENCY TEACUP AND SAUCER,24,2.55,14439,Greece,61.2
541932,22697,GREEN REGENCY TEACUP AND SAUCER,24,2.55,14439,Greece,61.2
541932,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,24,2.95,14439,Greece,70.8
541932,22720,SET OF 3 CAKE TINS PANTRY DESIGN,24,4.25,14439,Greece,102.0
541932,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16,8.49,14439,Greece,135.84
541932,22763,KEY CABINET MA CAMPAGNE,12,8.5,14439,Greece,102.0
541932,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,2.95,14439,Greece,47.2
541932,22502,PICNIC BASKET WICKER SMALL,16,4.95,14439,Greece,79.2
541932,22840,ROUND CAKE TIN VINTAGE RED,12,6.95,14439,Greece,83.4
541932,22842,BISCUIT TIN VINTAGE RED,12,5.95,14439,Greece,71.4
541932,22841,ROUND CAKE TIN VINTAGE GREEN,12,6.95,14439,Greece,83.4
541932,48188,DOORMAT WELCOME PUPPIES,20,6.75,14439,Greece,135.0
541932,22692,DOORMAT WELCOME TO OUR HOME,20,6.75,14439,Greece,135.0
541932,48184,DOORMAT ENGLISH ROSE,20,6.75,14439,Greece,135.0
541932,48187,DOORMAT NEW ENGLAND,20,6.75,14439,Greece,135.0
541932,48129,DOORMAT TOPIARY,20,6.75,14439,Greece,135.0
541932,22604,SET OF 4 NAPKIN CHARMS CUTLERY,32,2.1,14439,Greece,67.2
541932,22423,REGENCY CAKESTAND 3 TIER,16,10.95,14439,Greece,175.2
541946,21175,GIN + TONIC DIET METAL SIGN,12,2.1,17591,United Kingdom,25.2
541946,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,17591,United Kingdom,25.2
541946,82583,HOT BATHS METAL SIGN,12,2.1,17591,United Kingdom,25.2
541949,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,18136,United Kingdom,25.2
541960,22699,ROSES REGENCY TEACUP AND SAUCER,48,2.55,16660,United Kingdom,122.4
541960,22697,GREEN REGENCY TEACUP AND SAUCER,48,2.55,16660,United Kingdom,122.4
541965,20828,GLITTER BUTTERFLY CLIPS,18,2.55,12625,Germany,45.9
541965,22742,MAKE YOUR OWN PLAYTIME CARD KIT,18,2.95,12625,Germany,53.1
541965,22744,MAKE YOUR OWN MONSOON CARD KIT,18,2.95,12625,Germany,53.1
541965,21249,WOODLAND  HEIGHT CHART STICKERS,12,2.95,12625,Germany,35.4
541965,21251,DINOSAUR HEIGHT CHART STICKER SET,12,2.95,12625,Germany,35.4
541965,22236,CAKE STAND 3 TIER MAGIC GARDEN,12,10.95,12625,Germany,131.4
541965,47590A,BLUE HAPPY BIRTHDAY BUNTING,12,5.45,12625,Germany,65.4
541965,22087,PAPER BUNTING WHITE LACE,24,2.95,12625,Germany,70.8
541965,22088,PAPER BUNTING COLOURED LACE,24,2.95,12625,Germany,70.8
541965,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2.95,12625,Germany,35.4
541965,22423,REGENCY CAKESTAND 3 TIER,16,10.95,12625,Germany,175.2
541965,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2.95,12625,Germany,35.4
541966,84789,ENCHANTED BIRD PLANT CAGE,16,2.95,13854,United Kingdom,47.2
541966,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,24,3.39,13854,United Kingdom,81.36
541968,79321,CHILLI LIGHTS,12,4.95,13396,United Kingdom,59.4
541968,22087,PAPER BUNTING WHITE LACE,12,2.95,13396,United Kingdom,35.4
541968,22084,PAPER CHAIN KIT EMPIRE,12,2.95,13396,United Kingdom,35.4
541968,22083,PAPER CHAIN KIT RETROSPOT,12,2.95,13396,United Kingdom,35.4
541968,21586,KINGS CHOICE GIANT TUBE MATCHES,12,2.55,13396,United Kingdom,30.6
541970,22930,BAKING MOULD HEART MILK CHOCOLATE,12,2.55,15179,United Kingdom,30.6
541970,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,15179,United Kingdom,25.2
541970,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,12,2.95,15179,United Kingdom,35.4
541974,22138,BAKING SET 9 PIECE RETROSPOT,12,4.95,14541,United Kingdom,59.4
541976,22457,NATURAL SLATE HEART CHALKBOARD,12,2.95,16168,United Kingdom,35.4
541977,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,15078,United Kingdom,25.2
541977,21175,GIN + TONIC DIET METAL SIGN,12,2.1,15078,United Kingdom,25.2
541981,20750,RED RETROSPOT MINI CASES,12,6.35,12691,France,76.2
541996,21733,RED HANGING HEART T-LIGHT HOLDER,12,2.95,18075,United Kingdom,35.4
541996,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2.95,18075,United Kingdom,35.4
541996,22470,HEART OF WICKER LARGE,12,2.95,18075,United Kingdom,35.4
541997,22928,YELLOW GIANT GARDEN THERMOMETER,14,5.95,18077,United Kingdom,83.3
542000,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2.1,14257,United Kingdom,25.2
542003,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,2.1,15311,United Kingdom,126.0
542003,21561,DINOSAUR LUNCH BOX WITH CUTLERY,60,2.1,15311,United Kingdom,126.0
542003,21558,SKULL LUNCH BOX WITH CUTLERY,60,2.1,15311,United Kingdom,126.0
542003,21754,HOME BUILDING BLOCK WORD,18,5.45,15311,United Kingdom,98.1
542003,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,72,3.39,15311,United Kingdom,244.08
542003,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,72,3.39,15311,United Kingdom,244.08
542006,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,15218,United Kingdom,25.2
542006,21733,RED HANGING HEART T-LIGHT HOLDER,32,2.55,15218,United Kingdom,81.6
542025,21257,VICTORIAN SEWING BOX MEDIUM,32,6.95,14543,United Kingdom,222.4
542026,82600,NO SINGING METAL SIGN,12,2.1,15110,United Kingdom,25.2
542026,22360,GLASS JAR ENGLISH CONFECTIONERY,12,2.95,15110,United Kingdom,35.4
542059,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,16757,United Kingdom,25.2
542059,21164,HOME SWEET HOME METAL SIGN,12,2.95,16757,United Kingdom,35.4
542079,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2.55,18144,United Kingdom,81.6
542079,21407,BROWN CHECK CAT DOORSTOP,16,3.75,18144,United Kingdom,60.0
542080,20682,RED RETROSPOT CHILDRENS UMBRELLA,12,3.25,13815,Germany,39.0
542084,47566B,TEA TIME PARTY BUNTING,50,3.75,14680,United Kingdom,187.5
542084,21937,STRAWBERRY   PICNIC BAG,30,2.95,14680,United Kingdom,88.5
542084,21175,GIN + TONIC DIET METAL SIGN,12,2.1,14680,United Kingdom,25.2
542084,22326,ROUND SNACK BOXES SET OF4 WOODLAND,15,2.95,14680,United Kingdom,44.25
542084,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,24,3.75,14680,United Kingdom,90.0
542084,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,24,3.75,14680,United Kingdom,90.0
542085,21621,VINTAGE UNION JACK BUNTING,12,8.5,14534,United Kingdom,102.0
542087,21472,LADYBIRD + BEE RAFFIA FOOD COVER,12,3.75,14849,United Kingdom,45.0
542102,22960,JAM MAKING SET WITH JARS,12,3.75,12744,Singapore,45.0
542102,21755,LOVE BUILDING BLOCK WORD,18,5.45,12744,Singapore,98.1
542102,21936,RED RETROSPOT PICNIC BAG,25,2.95,12744,Singapore,73.75
542102,22499,WOODEN UNION JACK BUNTING,12,5.95,12744,Singapore,71.4
542102,21621,VINTAGE UNION JACK BUNTING,12,8.5,12744,Singapore,102.0
542102,20681,PINK POLKADOT CHILDRENS UMBRELLA,12,3.25,12744,Singapore,39.0
542102,21181,PLEASE ONE PERSON METAL SIGN,12,2.1,12744,Singapore,25.2
542102,22084,PAPER CHAIN KIT EMPIRE,18,2.95,12744,Singapore,53.1
542102,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2.95,12744,Singapore,53.1
542102,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,18,2.95,12744,Singapore,53.1
542103,20751,FUNKY WASHING UP GLOVES ASSORTED,12,2.1,13198,United Kingdom,25.2
542106,22423,REGENCY CAKESTAND 3 TIER,32,10.95,12709,Germany,350.4
542106,22627,MINT KITCHEN SCALES,12,7.65,12709,Germany,91.8
542106,21217,RED RETROSPOT ROUND CAKE TINS,24,8.95,12709,Germany,214.8
542106,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,4.25,12709,Germany,102.0
542106,21658,GLASS  BEURRE DISH,48,3.39,12709,Germany,162.72
542108,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2.95,17460,United Kingdom,35.4
542114,22457,NATURAL SLATE HEART CHALKBOARD,12,2.95,16943,United Kingdom,35.4
542123,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2.95,14299,United Kingdom,35.4
542123,22423,REGENCY CAKESTAND 3 TIER,16,10.95,14299,United Kingdom,175.2
542124,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,8.5,14248,United Kingdom,204.0
542125,82583,HOT BATHS METAL SIGN,12,2.1,16497,United Kingdom,25.2
542125,21175,GIN + TONIC DIET METAL SIGN,12,2.1,16497,United Kingdom,25.2
542125,85152,HAND OVER THE CHOCOLATE   SIGN,12,2.1,16497,United Kingdom,25.2
542126,47566,PARTY BUNTING,50,3.75,13001,United Kingdom,187.5
542133,22457,NATURAL SLATE HEART CHALKBOARD,12,2.95,13049,United Kingdom,35.4
542134,22183,CAKE STAND VICTORIAN FILIGREE MED,18,5.95,15189,United Kingdom,107.1
542134,22423,REGENCY CAKESTAND 3 TIER,16,10.95,15189,United Kingdom,175.2
542141,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,2.55,14548,United Kingdom,244.8
542141,21733,RED HANGING HEART T-LIGHT HOLDER,32,2.55,14548,United Kingdom,81.6
542142,15044A,PINK PAPER PARASOL,18,2.95,12971,United Kingdom,53.1
542142,15044B,BLUE PAPER PARASOL,18,2.95,12971,United Kingdom,53.1
542142,15044D,RED PAPER PARASOL,18,2.95,12971,United Kingdom,53.1
542143,48187,DOORMAT NEW ENGLAND,20,6.75,15061,United Kingdom,135.0
542143,48184,DOORMAT ENGLISH ROSE,20,6.75,15061,United Kingdom,135.0
542143,20685,DOORMAT RED RETROSPOT,20,6.75,15061,United Kingdom,135.0
542145,84078A,SET/4 WHITE RETRO STORAGE CUBES,12,34.95,13089,United Kingdom,419.4
542146,21588,RETROSPOT GIANT TUBE MATCHES,12,2.55,13405,United Kingdom,30.6
542147,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,12,2.95,12782,Portugal,35.4
542148,22467,GUMBALL COAT RACK,36,2.1,14060,United Kingdom,75.6
542154,22111,SCOTTIE DOG HOT WATER BOTTLE,24,4.25,15777,United Kingdom,102.0
542155,21348,PINK SPOTS CHOCOLATE NESTING BOXES,112,2.55,15777,United Kingdom,285.6
542208,22084,PAPER CHAIN KIT EMPIRE,12,2.95,16422,United Kingdom,35.4
542208,21380,WOODEN HAPPY BIRTHDAY GARLAND,12,2.95,16422,United Kingdom,35.4
542208,22090,PAPER BUNTING RETROSPOT,40,2.55,16422,United Kingdom,102.0
542208,22083,PAPER CHAIN KIT RETROSPOT,40,2.55,16422,United Kingdom,102.0
542208,22087,PAPER BUNTING WHITE LACE,40,2.55,16422,United Kingdom,102.0
542212,22087,PAPER BUNTING WHITE LACE,40,2.55,15812,United Kingdom,102.0
