item_id,order_id,product_id,quantity,unit_price,discount_percent
1,68,468,4,44330.56,17
2,568,285,1,32647.24,8
3,312,326,4,25121.53,9
5,463,318,4,14604.62,10
6,1,129,4,42006.49,24
8,757,203,1,34981.78,8
9,743,108,3,30600.18,20
10,906,386,3,35446.15,17
11,252,236,3,47957.84,21
12,17,2,2,30517.58,0
14,552,457,1,41637.78,28
15,689,184,4,19460.2,0
16,128,114,2,37208.59,17
17,697,418,3,30749.45,19
18,828,496,2,18277.36,17
19,505,101,5,49216.32,40
20,406,253,3,8689.76,12
21,676,34,5,29490.6,4
22,131,452,5,26249.38,17
23,197,355,1,33951.18,39
25,875,209,4,13846.97,33
26,478,453,5,36116.77,3
27,285,3,5,19714.57,21
28,84,116,1,48909.16,27
29,981,169,2,15678.13,40
30,641,13,4,29708.03,40
31,958,243,3,12070.29,21
32,853,122,3,47188.67,38
33,635,297,1,6416.35,3
34,939,356,3,3438.41,8
35,64,313,4,31384.02,4
36,105,436,5,19196.48,6
37,633,404,2,33054.26,0
38,465,318,4,5243.64,1
39,465,53,5,811.97,4
40,608,65,2,31940.71,16
41,364,125,5,7056.1,2
42,62,492,5,32654.91,22
43,319,76,5,23582.28,38
45,244,217,5,17322.04,12
46,656,342,1,23891.11,29
47,615,172,5,30881.94,26
48,337,467,4,2301.17,14
50,827,423,2,49495.93,23
52,647,16,3,10116.32,18
53,179,174,3,42407.2,15
54,183,467,2,5239.27,8
56,379,410,2,49885.21,27
57,900,474,1,6713.58,12
58,197,220,3,48853.68,15
60,336,436,3,25511.82,37
61,908,405,1,33242.41,4
62,172,266,5,23320.51,20
63,730,254,4,23793.16,37
64,411,107,5,11132.41,12
65,463,218,4,44457.7,36
66,161,44,3,6889.65,5
67,303,22,3,23369.6,39
68,345,189,4,40264.32,20
69,280,136,2,32338.67,22
70,924,330,5,4092.32,17
71,949,20,1,27392.1,21
72,202,418,3,38470.45,17
73,196,386,2,35866.03,34
74,935,178,3,39199.79,25
75,969,7,5,23705.8,32
76,780,371,4,37507.03,30
77,240,370,5,40757.01,21
78,811,483,2,34957.48,13
79,450,72,5,28959.92,8
80,313,338,1,41748.08,21
81,231,354,4,26972.68,20
82,602,79,1,48866.72,21
83,582,294,5,43373.85,24
84,210,97,1,23843.93,21
85,584,54,3,33809.3,11
86,33,96,5,10110.14,24
87,291,36,3,22842.25,23
89,490,444,4,10482.69,13
90,318,295,4,46969.88,37
92,66,270,5,16578.79,36
93,901,378,4,4736.91,29
94,356,422,3,40537.24,11
95,426,235,5,19356.32,11
96,716,23,4,12136.82,10
97,281,470,5,3523.84,13
98,931,189,5,4011.38,6
99,517,85,3,12787.78,32
100,46,346,1,37536.86,24
102,335,35,4,4310.92,15
103,731,143,2,42109.81,10
105,80,79,1,22144.77,11
106,222,357,5,2578.25,40
107,831,158,1,22310.54,38
108,5,476,4,12635.05,15
110,697,50,2,39886.82,10
111,742,418,4,16491.65,35
112,642,203,2,46958.38,7
113,238,8,3,20226.55,20
114,13,337,4,40791.23,39
115,378,393,2,30023.68,6
116,730,492,5,4918.28,20
117,647,326,2,38133.47,20
118,872,312,1,45622.74,28
119,392,361,2,49421.37,14
120,22,378,1,21539.19,15
121,635,152,2,10260.19,24
122,210,307,2,49429.86,28
123,757,330,2,39391.15,2
124,534,148,4,37577.44,14
125,868,277,3,2892.88,15
126,821,196,2,26169.3,11
127,453,36,1,47692.33,3
128,650,89,2,29713.01,13
129,242,160,4,8375.11,12
130,251,147,5,28905.81,40
131,207,498,4,18107.18,24
132,172,377,4,21784.84,9
134,778,79,3,27732.04,11
136,74,470,4,9643.37,0
137,883,474,3,20907.84,25
138,994,329,4,49378.6,4
139,419,290,1,8285.65,27
140,981,251,3,31821.99,23
141,714,377,4,12490.23,30
142,36,347,3,1607.15,9
143,268,309,2,29001.42,10
144,13,470,1,19340.52,37
145,998,449,5,21262.65,27
146,259,338,5,44355.21,37
148,834,204,2,35010.65,0
