order_id,customer_id,order_date,status,region_code
1,66.0,2025-01-27 22:22:45,DELIVERED,NORTH
2,22.0,2024-12-05 12:09:11,RETURNED,WEST
3,421.0,2024-07-15 22:30:14,CANCELLED,WEST
4,89.0,2026-01-13 12:02:18,DELIVERED,EAST
5,229.0,2026-02-09 07:06:22,RETURNED,SOUTH
6,332.0,2026-03-16 20:26:52,RETURNED,WEST
7,32.0,2024-07-17 05:09:43,CANCELLED,SOUTH
8,330.0,2025-10-03 15:00:26,RETURNED,NORTH
9,196.0,2025-08-21 13:24:34,RETURNED,WEST
10,177.0,2024-10-11 05:01:49,CANCELLED,EAST
11,,2025-08-19 09:36:33,PLACED,EAST
12,30.0,2024-07-17 06:39:10,DELIVERED,SOUTH
13,499.0,2025-04-28 23:36:35,SHIPPED,EAST
14,274.0,2025-12-02 02:10:12,PLACED,SOUTH
15,295.0,2024-12-18 05:49:41,DELIVERED,SOUTH
16,91.0,2025-12-27 21:26:50,DELIVERED,NORTH
17,361.0,2026-03-28 09:32:43,RETURNED,SOUTH
18,289.0,2025-03-14 01:22:51,CANCELLED,EAST
19,90.0,2025-05-25 05:58:14,SHIPPED,SOUTH
20,11.0,19-04-2025,RETURNED,SOUTH
21,413.0,2024-10-02 11:24:04,DELIVERED,NORTH
22,12.0,2024-11-08 21:49:40,SHIPPED,NORTH
23,434.0,2025-06-07 15:05:46,PLACED,EAST
24,361.0,2025-11-29 18:48:06,PLACED,EAST
25,155.0,2025-10-09 08:38:14,CANCELLED,WEST
26,333.0,2025-01-24 16:36:10,RETURNED,EAST
27,115.0,2025-01-30 15:35:06,CANCELLED,EAST
28,376.0,2026-05-06 18:28:16,PLACED,WEST
29,436.0,2025-09-01 02:15:56,PLACED,SOUTH
30,309.0,2025-06-05 16:18:20,RETURNED,SOUTH
31,328.0,2025-09-23 06:45:44,SHIPPED,EAST
32,382.0,2025-04-21 16:38:45,DELIVERED,SOUTH
33,326.0,2025-10-29 22:49:43,DELIVERED,WEST
34,6.0,2025-02-10 17:22:00,PLACED,EAST
35,132.0,2025-12-22 07:57:21,PLACED,WEST
36,225.0,2025-05-16 09:37:42,CANCELLED,WEST
37,452.0,2026-02-18 02:14:32,PLACED,WEST
38,404.0,2024-12-16 21:40:16,SHIPPED,SOUTH
39,232.0,2025-05-28 15:40:38,DELIVERED,NORTH
40,164.0,2025-09-13 12:31:41,DELIVERED,SOUTH
41,455.0,2026-03-12 11:25:16,RETURNED,NORTH
42,174.0,2025-09-17 18:16:03,CANCELLED,NORTH
43,221.0,2025-07-21 10:23:49,CANCELLED,SOUTH
44,28.0,2024-11-27 12:07:15,SHIPPED,WEST
45,357.0,2025-04-25 05:48:57,RETURNED,EAST
46,339.0,2025-09-18 22:48:37,PLACED,WEST
47,293.0,2025-09-15 16:50:36,PLACED,EAST
48,2.0,2025-07-22 10:29:20,RETURNED,WEST
49,103.0,2025-01-24 19:18:15,DELIVERED,NORTH
50,243.0,2025-03-06 20:58:26,CANCELLED,WEST
51,251.0,2025-10-03 08:44:38,RETURNED,WEST
52,95.0,2025-04-05 03:48:46,SHIPPED,WEST
53,23.0,2026-03-05 00:34:38,SHIPPED,EAST
54,289.0,2026-01-10 15:55:07,PLACED,NORTH
